ID	ENG (Original)	RUS (Dontaz v2.9)	note
1085AA6040FEF6CFC03ED69E8147CBC0	I beg of you!	Я умоляю тебя!	
6A4F9D384DA6E19AEF7D95BE7D29EC30	I can see everything, clear as day.	Я вижу всё так же ясно, как днём.	
39C64DB14CAEA6B1C1B6D29B710ED5BC	I can see just fine in the dark. In the dark	Я прекрасно вижу в темноте. В темноте	
8A88698241496E06742FD28CAB1D44FA	I can’t feel anything...	Я ничего не чувствую...	
557D370948A31B5D0140D4B86FE8772E	I can’t feel my hands.	Я не чувствую своих рук.	
62398525456B439DAC4E0F86973AA98E	I can’t take this tension much longer!	Я больше не вынесу этого напряжения!	
8A56490C42CCBF5C463B78BBE59DE618	I can’t take this tension much longer!	Я больше не вынесу этого напряжения!	
52E088884ED78CDCC25D3D8E6C8BE491	I can’t, can’t move, can’t do what I used to… but you,	Я не могу, не могу двигаться, не могу делать то, что мог раньше... но ты,	
0E37229B4F526DE256F1628ED799CA35	I could wear it better.	На мне бы это смотрелось лучше.	
27D9B5194FBE57AFC0ED0BA20143B960	I deserve the crown!	Я заслуживаю корону!	
9CCADC03475483D8EEE21E941A54C8BA	I didn’t guide it - it dragged me along for the ride...!	Я не направляла его - оно тащило меня за собой...!	
F9C718F045B599D3EB0E378CA5688902	I don't know if I'm ready to be a Somebody again...	Я не знаю, готова ли я снова стать Тело-веком...	
8205468C49A56F28FCF0868E4ECE7463	I don't know...	Я не знаю...	
8B1EDEA7470F16A35EC22E9CC9D93EB0	I don’t know if I’m ready to be a Somebody again...	Я не знаю, готова ли я снова стать Тело-веком...	
7C90605B47709CF6C28C2EA99F14EEBA	I don’t know what I thought would happen.	Я не знаю, чего я ожидал.	
B9AB97284A250E7CF1F20E8B9BA2C2F3	I don’t like it… losin’ the forest like this.	Мне это не нравится... потерять лес — вот так.	
627CBD5C4FC2AC346F73558F10C85406	I feel a strange warmth... but just as coal runs deep in the earth,	Я чувствую странное тепло... но подобно тому, как уголь залегает глубоко в земле,	
18CC34B844326F19B2C2648ACD8DA390	I figured that’s just how I always feel, and my worries seldom come true.	Я решил, что обычно так я себя и чувствую, а мои тревоги редко оправдываются.	
09D8206246D29B6F8E51988A10589B0E	I followed it, for a long, long time. Would the road ever end?	Я следовала за ним долгое, долгое время. Закончится ли когда-нибудь дорога?	
C5E127DF49424D08AB16FC8D84DB3C8D	I found this stick and I'm keepin' it...	Я нашёл эту палку и оставлю её себе...	
26B70436499C71760BF3919EDCDBC8B8	I give it freely.	Я отдаю её добровольно.	
8C6ECDDF441EAFB09E64DD943AC0CBCD	I got no better stick than this stick	У меня нет палки лучше, чем эта палка	
70C994954B3018B224417B9C1E76474A	I gotta workshop this one some more...	Мне нужно ещё поработать над этим...	
7505C64842BE7C1B94AED69C41861F35	I guess I'm the Headmaster now.	Полагаю, теперь я Главноголов.	
E3DF4A3348E751018B59BFAABF90FB40	I guess you gotta lose your head before you find…	Думаю, тебе нужно потерять голову, прежде чем получится найти...	
1856B83A455A6E6312E6378BFF1C811C	I had a flame once. It was beautiful and bright,	У меня однажды было пламя. Оно было прекрасным и ярким,	
A2AC2A824DD8FC957D32AA9EFF962DE8	I had this wretched gut feeling like something was up,	У меня было это отвратительное предчувствие, будто что-то не так,	
7DFF5C24442FD42132704E9CC0C3A714	I hate hiking!!	Я ненавижу прогулки!!	
7BE943DB49BD63D3D0F85CA6A7BB33DD	I have the Molgrim’s cauldron shard just waiting to be yours...!	У меня есть осколок котла Молгрима, который только и ждёт, чтобы стать твоим...!	
E08E64B241BB185AF6B54BA75A75494F	I have to surrender…	Я должен сдаться...	
3E1EED844885FEF3D72E7886D9B4431B	I hear you messing around...!	Я слышу, как ты возишься...!	
C29F1B974F6297ECFD49BF918D9D8E04	I hope my body can forgive me…	Надеюсь, моё тело сможет простить меня...	
3DC9D69746B6C29A3D2154850FEA6BE1	I hope that, tonight, you caught a glimpse of it.	Надеюсь, что сегодня ночью ты мельком увидел это.	
78AA5BFE476E7C583F3EF3BFCE08F031	I know I... captured it once, in a melody-keepin' head of clay	Я знаю, что... однажды я запечатлел её, в хранящей мелодию глиняной голове	
8D9CFEF54C9F65BEDD2931B4B3EDF5D1	I know he loves you still.	Я знаю, он всё ещё любит тебя.	
6261A802470BC103297C578813914A3C	I know the thief was to blame but… she was just a child.	Я знаю, что воровка была виновата, но... она была всего лишь ребёнком.	
1B5A5E5345E6D5FF3F3AEBA886119869	I lost my way again...	Я снова сбился с пути...	
3853F1B94EA004003274748F1DB617A8	I love you… still. (Shudders)	Я люблю тебя... до сих пор. (Вздрагивает)	
534C50C1479340174FB2BDAB53CE510B	I mean... isn’t this just...	Я имею в виду... разве это не просто...	
02F2F92C496BFE65ECA0CF8CE7464B70	I mean… isn’t this just…	Я имею в виду... разве это не просто...	
9A8EB68B46C8430D759ACC80DE5B671F	I need it to... ferment me, season my soul.	Мне нужно, чтобы оно... взбодрило меня, приправило мою душу.	
CC77536745BDD537797840BEC3C44D2D	I ran; tried to chase it, grab the key and - when I did	Я побежала; попыталась догнать его, схватить ключ и — когда я это сделала	
1C9654EC40FC37A84C431483197A85E6	I reckon you must be headed for Moon Mountain!	Полагаю, ты должно быть направляешься к Лунной горе!	
FCAD0B1249E86E08C86E259D5B2701A5	I see you! Not a crawl closer, Moonbird!	Я вижу тебя! Ни ползком ближе, Лунокрыл!	
EC2789E543501FD03D1AFEBF9F064793	I shall graysh... grass... greyshoushly let you pass through Nobodyville.	Я любессс... любес... любезнейше позволю тебе пройти через Бестеловилль.	
D89EBD67413F1AC949327694A9BEBC3E	I think this body business will be good for us Heads in the long run!	Думаю, эта затея с телами в конце концов сослужит нам, Головам, добрую службу!	
8DBBD9434BD834E9FB09FF9CE7805E26	I think you should talk to him again, I know it doesn’t seem like it but...	Думаю, тебе стоит снова поговорить с ним, я знаю, так не кажется, но...	
BD2F9487498C0BD3489DD0B2F553F608	I thought it could maybe buy me some kind of ticket away from…	Я думала, это поможет купить мне подобие билета прочь от...	
D3AAFA2B45BAD575C171C29B9BAF9CAA	I thought we’d just punish her…	Я думала, мы просто накажем её...	
A7FE715D41C6C547BD20E7B4BC17AF0F	I threw the head back into the lake	Я бросил голову обратно в озеро	
D7B3E2E24BF32C3965D3CDAAC4C576BD	I trappan	I trappan (На лестнице)	
BAE5D2864804DC13BDCE7DAEE223595B	I trust you make up for in walk.	Но, полагаю, в делах ты красноречив.	
AFC564054E8A4B606A36E3951CB0AD33	I trust you’re not pushing that lil’ flame o’ yours too hard?	Надеюсь, ты не требуешь от своего огонька слишком многого?	
0BEADD1F419AA53AFD8E9BAF8342D068	I used to be afraid of the dark	Раньше я боялась темноты	
A0B5F6444A9FBDD41F71AA84C95FFDF4	I used to be afraid of the dark	Раньше я боялась темноты	
864DCDD14DC788CE2305BD80ADF5CAFF	I want. I... want...	Я хочу. Я... хочу...	
A856E7ED451F010B8400CBA31982324C	I was mad. So very mad...	Я был в бешенстве. В столь сильном…	
821ED26C4C1CC365FFA5909A0EE423ED	I was sawing myself out of it!	Я выпиливал себя из него!	
B3C358CA4876747656AB75AE38AAD587	I will rain fire upon your greedy shadow!	Я обрушу огонь на твою жадную тень!	
6180541145C4BEFD0BC8489C86C67831	I wish I was the first.	Хотела бы я быть первой.	
14D3E49A4C34FF977C0D398A35F4CA26	I wish...	Я желаю...	
56D2BC28403BEF3E6F6B2CAEBEF8E063	I wonder if, one day, someone will hear my echo.	Интересно, услышит ли кто-нибудь однажды моё эхо.	
E38B1CE645F74657E8ACE7B2721A962A	I wonder if, one day, someone will hear my echo.	Интересно, услышит ли кто-нибудь однажды моё эхо.	
BDF38FA14E1714573B297591E813BAD5	I'm keepin' it! Oh, look at this stick, I love this stick	Я оставлю её себе! О, посмотри на эту палку, я люблю эту палку	
C8ECBF684EE59BC0C907A0BA9BDBA494	I... want. I want.	Я... хочу. Я хочу.	
30A9BC5C4EB8ABE1150610B27716F286	If I could just hear that lullaby one last time I know I...	Если бы я только мог услышать эту колыбельную в последний раз, я знаю, я...	
71E88076416A1B66B66DF78DB0A47DDE	If I had a heart I’d feel great shame for what we did...	Если бы у меня было сердце, я испытывал бы непомерный стыд за то, что мы сделали...	
D99D789B4432CC7CAA80FD966290BEC6	If only a little rock-picking Murkle could know, that the seemingly tiny stars were in fact thousands upon thousands of suns.	Если бы только маленькая Мёркл, собирающая камешки, могла знать, что кажущиеся крошечными звёзды на самом деле — тысячи и тысячи солнц.	
76A8AEFD4EEA0107FCD5EC9B949CD6FE	If this is the end, then why am I?	Если это конец, то почему я существую?	
CC3B8BEA4995E895ADB387911EB49AAC	If this is the end... then why am I?	Если это конец... то почему я существую?	
1A38BE2D4A253C347B5BF28DCA3E7BBD	If you ever need help relieving it of your body	Если тебе когда-нибудь понадобится помощь в избавлении от твоего тела	
F01A3F044133A485879FACBB2639672C	If you light them all, then maybe...	Если ты зажжёшь их все, тогда, возможно...	
54D51E264723EBB7E07B3985DA965D51	If you’d just… take me to the outskirts	Если бы ты только... отвёл меня на окраины	
EF602EAA44684F1F6B1E1285C2BD985F	If you’d just… take me to the outskirts	Если бы ты только... отвёл меня на окраины	
837CDFF4477ECBF175D930A8D4C4B6EF	If...	Если...	
1124EA234C66448B59FF62BE0C90BB39	In her bony little hands - a lit match. 'What do you think of my star?'	"В её костлявеньких маленьких ручках — зажжённая спичка. ""Что ты думаешь о моей звезде?"""	
BB5227E742F4DE62871FB3AC5AB844FB	In his desperation to regain control, he made an attempt	В своём отчаянном стремлении вернуть контроль, он предпринял попытку	
2D71E290413581F0876E8583445A0098	In its bright flames, she could glimpse a dark future.	В её ярких пламенах она могла мельком увидеть тёмное будущее.	
85597EF741A6B35F24B76B840645E3AC	In life I didn’t mind a little loneliness, but this is the worst!	При жизни я не противился небольшому одиночеству, но это — кошмар!	
A7024F614FA598419583B39E66780382	In the beginning there was the dark, the road and the Soulfisher - playing his banjo. Or so they say.	В начале была тьма, дорога и Ловец душ — играющий на своём банджо. Так, по крайней мере, говорят.	
A66A05B04D4E7C5509626D8D5838399B	In the closing nights of this era, a wandering flame...	В последние ночи этой эпохи, блуждающее пламя...	
8DD5792E4D5A87DCE470A3A37B6F86CB	In the end, all there’s left to follow is your own heart.	В конце концов, всё, за чем остаётся следовать — это твоё собственное сердце.	
DA1F1BDF4F9A687A6E952DBB60884046	In the end… the Dark remains a mystery,	В конце концов... Тьма остаётся тайной,	
7B8803E449C7F202381427A554DE365B	In the midst of darkness, lo and behold,	Посреди тьмы, о чудо,	
31EE348B4DAA48F013F5318B45446E70	In the valley of candles, what will you do with your fire? / The fire longs to be free.	В долине свечей, что ты сделаешь со своим огнём? / Огонь жаждет быть свободным.	
8B19DD6840D72A4F26D09A9C0E71B472	In the woods... where the wild things rest.	В лесах... где отдыхают дикие существа.	
37782F264C40876E6922F3B39EEAABDD	Influencer Marketing Manager	Менеджер по Маркетингу Влиятельных Лиц	
1AD9D4F64C1C60E1CFF78D9C16E448D1	Interact	Взаимодействовать	
BD567F3B49D360328BAD7A954898D92C	Interact	Взаимодействовать	
2BEA99AB4D706A14DF97BA9D030A0AFE	Interact	Взаимодействовать	
D6D45A324EE0E6428D5EBD9568A49199	Interact when player is in a cinematic	Взаимодействовать, когда игрок в ролике	
F538096D4C9910B344B2E88169A397F6	Intermediate Game Designer	Промежуточный Геймдизайнер	
97E1F2A14466043AB7982C92E068E503	Intriguing...	Интригующе...	
758AD33B4E859D43AB380D8ED4F27A31	Inventory	Пожитки	
CAED07F847DD3E672334EAA05289FBC2	Inventory	Пожитки	
D65CBE9840ACC7800B0299A8D1D5A1F9	Inventory	Пожитки	
F024097C481052EA5F3278A0985E8DCD	Inventory Empty	Пожитки отсутствуют	
DC86BBE54038E0F3EC8DF2B23A544310	Irmelin Remdahl Emtinger	Irmelin Remdahl Emtinger	
41AB972740A7E55C9BB27BB0F68DAEE3	Is it a place for monstrosities, for fools lost in the woods?	Это место для чудовищ, для глупцов, заблудившихся в лесу?	
EB2F6E7847E9136C3B313181C5C6A36F	Is this a dream?	Это сон?	
0122DF8940EBB96EA62F32930CF9DCD4	Isabella Velasquez	Isabella Velasquez	
A4ED883C4CBB9AC68E473F8EC2B0D5A4	Isn’t that just the way.	Вот так оно и бывает.	
8E69C43840695865CC61B5B919298488	Isn’t this enough?	Разве этого недостаточно?	
766BE5884AA8A3A3CB7BECB45C7DB6BD	It bu...!	Она жж...!	
C0BAE276420EFD8E0F9FDBB312DF89F5	It bu...!	Она жж...!	
86CA17E04EE174FDC0EB6DBD3BE011DF	It burns!!!	Она жжётся!!!	
B6434F6742697535157B09BC47D4CA9B	It burns!!!	Она жжётся!!!	
015C84894C00CDACD1BBAE96DC560985	It came from beyond the moon!	Он пришёл из-за пределов луны!	
C2B2EFD14F2C4AD2A40418B3351AA8F8	It had gotten so restless it grew a pair of legs,	Она стала такой неугомонной, что отрастила пару ног,	
D6D4998047DC70E3E19EDFBD097E5DB1	It had gotten so restless it grew a pair of legs,	Она стала такой неугомонной, что отрастила пару ног,	
4493396440EC7B40AF93378F89BDC0FC	It has been an honor to watch your journey, to the Worktable's edge.	Было честью наблюдать за твоим путешествием к краю Верстака.	
F561E6AB42CBFBDAB8D989AB0611156E	It has to be out there, somewhere.	Она должна быть где-то там, вдалеке.	
722A017549AC8A8FD8B6BDAC48C53C7A	It is forbidden!	Это недопустимо!	
FAA5224D4AEC52A14F27D087BFBEF9AE	It is forbidden.	Это недопустимо.	
87BAFDC942FFFD1BD634B19BFBAC4F1A	It is happening again.	Это происходит снова.	
22EDEDEF4114009E7CA7B99EA07DE7E3	It is inevitable. We must all partake;	Это неизбежно. Мы все должны участвовать;	
3C1AEB2149590699F8A0C7857D769CB8	It is less than nothing and also more than everything!	Она меньше, чем ничто, и в то же время больше, чем всё сущее!	
84040E194F67DE91E138BBAE565C4B54	It is less than nothing and also more than everything!	Она меньше, чем ничто, и в то же время больше, чем всё сущее!	
351D7CD945C9ADD8D60225A78D5806AD	It is simply the way, the way of Fire.	Таков путь, путь Огня.	
1C515C1F470662D2ADF76F9FB271C7CF	It is told that the Molgrims were given fire from the stars themselves.	Говорят, что Молгримам был дан огонь от самих звёзд.	
54521CF341BE93CBAC2457AFF990C7BF	It is what it is.	Что есть, то есть.	
80DEE8D0491D57890C57BCBF6F5617F3	It is what it is...	Что есть, то есть...	
2886D4514CD139F43699E1B60EDA17B4	It killed us all...	Оно убило нас всех...	
23BA22D040F69423D6E35B86DE7AA2C9	It lingers... (Growls)	Она остаётся... (Рычит)	
264EBA4F4E175730389FCA9495A634E5	It longs to open something.	Он жаждет что-нибудь открыть.	
AE7C8A104E48E0F9807F1A83C625BAAE	It looked so shiny in the moonlight...	Он выглядел таким блестящим в лунном свете...	
9811131640D680EA053D01829F227858	It tried to run and it tried to hide, but now it walks home - to the grave of the thief.	Она пыталась убежать и пыталась спрятаться, но теперь идёт домой — к могиле воровки.	
7B22EBBF4EFA841CA129E79EA8BFF316	It was foretold… The return of the bodies…	Это было предсказано... Возвращение тел...	
068EC0D94E1C2A9C3CA048A50C24D1FA	It was the longest, most terrible fifteen minutes.	Это были самые долгие, самые ужасные пятнадцать минут.	
FEA81774480B9D8048D75794EA01817A	It was then that the Dark corrupted the Maker’s clay;	Именно тогда Тьма исказила глину Создателя;	
EAAADDF848B2BA1C32B192B1A3B71941	It was told that, for the being who kept fire in their heart,	Говорили, что для существа, хранящего огонь в своём сердце,	
61C1A5CA4EBABD7C7F6D748A73B729E6	It went sort of like... (Hums a lullaby)	Это было что-то вроде... (Напевает колыбельную)	
4ED4B23F4FD5AAD7EB3C668098407219	It's Headvig!	Это Башковица!	
70D0FD9D4218F95D3A3297840C7D0243	It's already there,	Оно уже там,	
C566694C4A072754F19FFFB0788C372B	It's getting more windy <cf>and harsh up here.	Здесь становится всё ветренее <cf>и безжалостнее.	
75C184D04A8A8027F109EDA0169D565E	It's just the best. I can't believe I found this stick	Она просто лучшая. Не могу поверить, что нашёл эту палку	
B07EC080490FA08849D3FF8E7FD8C63B	It's like a void - empty - but not cold	Похоже на пустоту: нет ничего, но и холода нет	
09090C5649AB13DA78004EA5A592D192	It's so heavy.	Оно такое тяжёлое.	
312041FD471E5566F217EBB864CDA0AA	It's still singing… (Growls It brings me woe.	Она всё ещё поёт... (Рычит) Она насылает на меня скорбь.	
09DF335D42CC7AFB02E2F5B1A8644FD4	It's true, they do	Правда, так оно и есть	
5D876B3242DE96D878C971AA85FCF76C	Item Added To Inventory	Предмет добавлен в пожитки	
20FFB8564792DFDB4C9CB2B0A20DB877	Item collected in	Предмет собран в	
0869879B4EEE3B254B405EA6BBE40B29	Its face...!	Его лицо...!	
F38205734ED2C7D5123293A5A54970DF	It’s Just A Match	Это просто спичка	
B7B1DA1447076C7B24308F9BA97FBAA9	It’s a real shame when you think about it, y'know?	Настоящий позор, когда задумываешься об этом, понимаешь?	
F0FE4C3E44D104C0BBDDF5845D11FEDB	It’s been waiting for the right passer-by ever since it ended up here.	Она ждала подходящего прохожего с тех пор, как оказалась здесь.	
D2601A68484C596295F189BDC3FDFD7D	It’s getting dark now. But the dark is a well of ideas,	Темнеет. Но тьма — это колодец идей,	
79C5BF61427B11482418999A00BBB728	It’s really all that matters. Don’t take my word for it…	Только это и имеет значение. Можешь не верить мне на слово...	
5EFD69114A3066C4EB8120A437FCC988	It’s them! Burn them, like they burnt our hope.	Это они! Сожгите их, как сожгли они нашу надежду.	
703CDF6B4100F2BD0450209BE90ECF54	It’s very cold. Keep close to Potboy, and fire.	Очень холодно. Держитесь поближе к Горшочку, и огню.	
79699E3944A852B11AE5878ADAAA43EA	I’d be able to move on.	Я бы смог двигаться дальше.	
AB22116F4B13E9C4C79D18833E1087B8	I’d feel great shame for what we did...	Я бы испытывал непомерный стыд за то, что мы сделали...	
E8C1D5014EE88D86958D669D0AF36041	I’d probably waste it all over again...	Я бы, вероятно, снова потратил всё впустую...	
2774CEAC45E4AE307FCC1FB0863CE697	I’d sleep outdoors and under their blinding radiance...	Я бы спала под открытым небом и под их ослепительным сиянием...	
51F01B8740984F21B9CC8DBBB0EDA20C	I’d sleep outdoors and under their blinding radiance...	Я бы спала под открытым небом и под их ослепительным сиянием...	
A09D09A04640004D9375E8821D1C933C	I’ll be your guide tonight… This Furnace here,	Я буду твоим проводником этой ночью... Эта Печь здесь,	
4849D32447DC8FEA87D35EA3C871ABBF	I’ll keep watch.	Я буду на страже.	
A9CDEE2448210E1D272000B948F37A33	I’m begging you on my bare chin	Умоляю тебя своим голым подбородком	
80B7704D4833BF5CFFF6AB8D7B48D08C	I’m growing impatient and hungry...	Я становлюсь нетерпеливым и голодным...	
0B7827DE42D31B60B705258117662A93	I’m sure you’ll be fine.	Уверен, ты справишься.	
6C60708F4C177C993C4EC099FA7A5017	I’ve had enough of ‘civilization’.	"С меня хватит ""цивилизации""."	
91D92AA7485919B5A1127390F249A326	I’ve had enough. First it was the big Molgrim hunt	С меня достаточно. Сначала была большая охота на Молгримов	
533316B64FCC227F0DBBAE97CC58F5CF	I… (Sobs) what have I done?	Я... (Рыдает) что я наделала?	
1D19303B4468151076D735B135F8C797	Jakub Piechotka	Jakub Piechotka	
55376D44448B6180F611A38919AB4FFF	Jakub Rojan-Rajkowski	Jakub Rojan-Rajkowski	
3AD5C95C485809971E80A38CFDC243EA	Jakub Wojciechowski	Jakub Wojciechowski	
1E4CAB1248ABD98D229E72A83E00C6CE	Japanese Translation	Перевод на Японский	
A65221A944D6BBD80CD0B39576F1CF2A	Jared Mosqueda	Jared Mosqueda	
06C97F8E4EBC77C363177D8AA1B250BE	Jefferson da Silva Medeiros	Jefferson da Silva Medeiros	
38F8F16C406298BF7FA9FEA0D159810D	Jesper Englin	Jesper Englin	
4946EE9B402D508731DC489698FCFE62	Ji Seung Hyuk	Ji Seung Hyuk	
9A51EF5F4879594F4928DFB2216807ED	Jiye Lee	Jiye Lee	
976CA1854BB9E8AC604D7E893D2B1682	Joel Bille	Joel Bille	
D3E5340746311BAE6B8AF8A4F7B5F97A	Joel Bille	Joel Bille	
DC598066402896EFD0C04295389D382A	Johan Juno Holm	Johan Juno Holm	
81BDDB1A4B64617BAE66FC84783453AE	Johanna Schramm Rönnlund	Johanna Schramm Rönnlund	
E71E84804DDBC1A72595DB97E1179D6F	John Smith	John Smith	
1511E91B4C45B49E925FEF895D5D5EDC	John Vega	John Vega	
F1938F904B98B811462A1690B47153D4	Jonathan Dewoon	Jonathan Dewoon	
075222C24E7A7F884BE553A5FCB903C6	Jonny Merritt	Jonny Merritt	
903942F84F462F58D6F557A3A5BCDA12	João Freire	João Freire	
221BEB534FF86D999A1B418EF97F77CF	Julia Tarach	Julia Tarach	
D523FED44225007A7E67CFBF27CB0A9C	Julio Perez Jr	Julio Perez Jr	
A945A6F34432F9F84D5D2694367AFAF7	Just like her.	Точь-в-точь как она.	
E670A7A5433CF49AA99E87A7B730EA1E	Just once. Just once...	Ещё один раз. Всего лишь раз…	
5D7918714F447C0A7D90349CB2913DB7	Just so long as you get me out of this swamp.	Лишь бы ты вытащил меня из этого болота.	
61F267F2479699E0B631699D1D2B4420	Just... take care of that shard now. Maybe	Просто... позаботься об этом осколке. Может быть	
02F2E9994C9A994C4F38968B356B0391	Justice won’t keep us warm...	Справедливость не согреет нас...	
5970AD824CC09F89174C52B0B1EEE133	Justine Lefebvre	Justine Lefebvre	
2360EF4D4E6AC199DC5970AEFFC176AF	Karen Kahler	Karen Kahler в роли	
CCD6C39941B7E93350AE8BA3308D41C9	Karin Rindevall	Karin Rindevall	
FE1A9D0E442E0CB025828F8304A55061	Karl Leino	Karl Leino	
D7BE035D49F22C63D82DB99F96347EE8	Katarzyna Czerwinska	Katarzyna Czerwinska	
0FF45C244720C7E6791E09914889FC57	Keep him nurtured and safe, and you’ll always find yourself in the right place.	Береги его, питай его и защищай, и ты всегда окажешься в нужном месте.	
1B35EE0A458F932A54B2AAB6D99762A1	Keep lighting the fuse, Burnt One...	Продолжай зажигать фитиль, Обожжённый...	
1622BD9144A4DE6A944F289DB9A112D4	Keep on walking the Midnight Walk then, Burnt One	Продолжай идти по Полуночной Тропе, Обожжённый	
17F0AF3140684156070CFD92AE49BE19	Keep on walking the Midnight Walk then, Burnt One	Продолжай идти по Полуночной Тропе, Обожжённый	
501C023540866D91C52FA2B4C57815AE	Keep on walking the Midnight Walk then, Burnt One	Продолжай идти по Полуночной Тропе, Обожжённый	
61D70630432015A3495A19BD3EE910B2	Keep on walking the Midnight Walk then, Burnt One	Продолжай идти по Полуночной Тропе, Обожжённый	
3C59BDD843972A67752E429B9F23E311	Keep that fire alive.	Поддерживай этот огонь.	
908801AC4D10BA4AD62773833A7CD260	Kei Matsumoto	Kei Matsumoto	
82AD6464433746400CF61C865B18BD8C	Kenneth Bakkelund	Kenneth Bakkelund	
D2C1D80A458026EC052143B79F5C02A5	Kenneth Bakkelund	Kenneth Bakkelund	
F6F052AB4B744CA84C22A998C21C3D2A	Kenneth Bakkelund	Kenneth Bakkelund	
85664CC14430179952CECA9820544D32	Key Critters	Ключники	
18D0BDE14F10160BAA16FAB0B91F282A	Keyboard Binding	Назначение клавиш	
03E94B3549A9E918FC49A4B59A3C7C83	Klaus Lyngeled	Klaus Lyngeled	
25602727473B002D578198ABAA0A2D74	Klaus Lyngeled	Klaus Lyngeled	
868A8B5A4F3901D2649966B073EE1FB5	Klaus Lyngeled	Klaus Lyngeled	
F6B8D8834587C4368568019A03F6DE50	Knowing not where to find the Dark Itself (everything looked pretty dark to her),	Не зная, где найти Саму Тьму (всё вокруг казалось ей довольно тёмным),	
B141F0674686951F7AE5C586D2F47E84	Korean Translation	Перевод на Корейский	
9467D72841EA13B0DEE211ACD703525D	Kyoichiro Ishiyama	Kyoichiro Ishiyama	
2745002A47FCDC5BD52379B5579D3E29	Köket	Köket (Гастрономия)	
D9B687CC412AF38DAF246E9FB0A184EC	Lady of the Woods	Владычица Леса	
7BA7FB674527C01B3349E787AA2BB7E2	Language	Язык	
D2354F7F41341B90BA7B1C9AFBED20D5	Language	Язык	
811278CC4CB92A9F413F5AB2D909B422	Lara Kaiser (Mika)	Lara Kaiser (Mika)	
DE22B9764E00ABB775986DBFE04B6135	Last time I saw my body, I....	Когда я в последний раз видел своё тело, я...	
A877F07A4405B7F4D64F46A7E7F36B99	Laura Eugenia Diaz	Laura Eugenia Diaz	
823978C3465CAD13D2DE709EFE475473	Laura Piest	Laura Piest	
BC79F6184E31A408AAFC1094C4D00D8C	Lead Audio Designer	Ведущий Аудиодизайнер	
515D4200478E54338B94AF8926DD2AF2	Lead Engineer	Ведущий Инженер	
01497552438E067EC5D26D85DBE3C0EA	Lead Marketing Creative	Ведущий по Креативному Маркетингу	
8CD2166A46F31E71A4D0DF897CEFFDCD	Lead Programmer	Ведущий Программист	
898CA77A4BA92565B9D91FB93AF13284	Lead QA	Ведущий QA	
3636A88A4BC6E71F27A81E92F8207A2C	Lead Social Media Manager	Ведущий Менеджер по Соц. Сетям	
379F30464B93970282A7488AA93CCE54	Lead Technical Artist	Ведущий Менеджер по Соц. Сетям	
84A8C92B461DA05E102DA2BD4C96176D	Lead VR Programmer	Ведущий Программист VR	
F7F2FEB743289BBB82BA50A43C3FF466	Leave through the door whenever you please...	Уходите через дверь, когда пожелаете...	
C7B0A0EE453622460930F299F41DEFE7	Leave... me...	Оставь... меня...	
531A271F44BD51154D222DB0C7995B05	Lee Jae Hun	Lee Jae Hun	
D92D3A184EE1D8CFEC4827957A339A67	Left	Лево	
1A4C6DDA40B60C179E5614B6827E355E	Let him walk his walk.	Позволь ему идти своей дорогой.	
B179D7794A440DA8F3D8BD99B78FF57E	Let the light guide you there...	Пусть свет ведёт тебя туда...	
4721ACDF4877360534105DA43A7AF90B	Letter To Mother	Письмо к Матери	
9691417A48D0310327A7BCA3E9BA7C37	Level Designers & Scripters	Дизайнеры Уровней & Скриптеры	
EABA1D2345613CC1E9CAE79FBB714EDE	LevelName	LevelName	
F6C8CBEC4013D40CB9AE269C6298F8DA	Liar, liar, eyes on fire!	Лжец, лжец, горит твой венец!	
27EDF2D64D8296BEB1EBA4AD05ADB0BA	Light	Свет	
3DAC90C04938D6010E2E0BBF3FC4AC3D	Light Match	Зажечь спичку	
9F996C2E42C870A821CA28B52E8030F1	Light a match, throw fire into the Dark Itself, and…	Зажги спичку, брось огонь в Саму Тьму, и...	
175C240A4A0B0D6F1222B788753A3935	Light a match.	Зажгите спичку.	
0D1FAD7B465936BD3D1707A181C78E39	Light like yours is hard to come by these nights...	Свет, подобный твоему, трудно найти в эти ночи...	
6E7524454CD94D064641FA97F0C63AB0	Light the fuse. Give her more!	Зажги фитиль. Дай ей больше!	
E0D135414CE98C11E5C36C985D2FE082	Light the fuse… it will guide the Burnt One	Зажги фитиль... он укажет путь Обожжённому	
5045E4DD451528765FCB0DAB919C98E5	Light the match...!	Зажги спичку...!	
B82DA26B428247A431D43E9B17A0DA95	Light.	Свет.	
D6CBC69B463956DCF0F0569EA6A4E4AC	Light.. the match...	Зажги.. спичку...	
9476B50945F210A7D0AEC3B739D903BE	Lighting candles marked with symbols opens up new paths.	Зажигание свечей, отмеченных символами, открывает новые пути.	
35A9443642D462037F5A40BCC556F572	Like her!	Как она!	
4B066FA443E63B8DA52B4BA975D15986	Like her...	Как она...	
2DC80D774C1D2FE7588DD6B18D75C275	Like the Somebodies of old; the candles must rise before they may burn.	Как древние Тело-веки; свечи должны подняться, прежде чем смогут гореть.	
5CC9AD2646F6122A1FD3D49D8D25FE65	Like you, his heart is ashen, barren… yet ripe for tasty stories.	Как и у тебя, его сердце испепелено, пусто... но созрело для вкусных историй.	
1346C58F42B5C678D85910AB9CDC571C	Lionbridge Games	Lionbridge Games	
